楼盘ID,楼盘名称,城市名称,城市ID,区域名称,区域ID,子区域名称,子区域ID,地址,环线位置,最新价格,参考价格,房贷计算信息,面积范围,占地面积,建筑面积,房间面积信息,户型文本描述,全部户型,开盘日期,开盘日期备注,开盘时间,交房时间,发证时间,建筑类型,建筑类型.1,产权年限,容积率,绿化率,规划户数,装修情况,工程进度,物业类型,物业公司,物业管理费,物业特色,车位数,车位比,销售状态,销售标题,租售标题,预售证号,绑定楼栋,开发商,开发商品牌,投资商,供电,供水,百度地图纬度,百度地图经度,400电话,所有标签列表,标签列表,默认图片,规交信息,售楼处地址
499960,广宇东润大厦,杭州,18,上城区,1802,城东新城,5133,杭州上城区城东新城机场路与东宁路交叉口,,23000,23000元/㎡,首付19万，月供4797元,58-95㎡,7640m²,34469.9m²,"[{""id"": 791427, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 58}, {""id"": 693987, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 58}, {""id"": 693989, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 58}, {""id"": 693988, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}]",1/2/3室,商业户型,2021-08-14,2021年08月14日,2021年8月14日,2022年6月30日,"[""2019-03-23""]",{},,40年,3,25%,327,带装修,,商业,杭州广宇物业管理有限公司,6元/㎡/月,,250,1:0.76,在售,在售,在售,"[""杭售许字(2020)第000019号""]","[""1#、2#""]",浙江上东房地产开发有限公司,广宇发展,浙江上东房地产开发有限公司,商电,商水,30.307831537312,120.21300070765,"{""service_num"": ""4006708287"", ""num"": ""94422""}","{""559"": ""现房"", ""77"": ""复式"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""73"": ""卧室全朝南"", ""10"": ""多轨交"", ""5"": ""低单价"", ""4"": ""低总价"", ""397"": ""动静分离"", ""263"": ""VR看房"", ""50"": ""品牌开发商""}","[""现房"", ""复式"", ""装修交付"", ""轨交房"", ""卧室全朝南""]",https://pic4.ajkimg.com/display/xinfang/3e6c4df688e3d1c3c932bbb4f1d5805d/275x206n.jpg,"[{""id"": ""7254746"", ""loupan_id"": ""499960"", ""station_id"": ""120840"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""54米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""枸桔弄站"", ""distance_raw"": ""54""}, {""id"": ""7325541"", ""loupan_id"": ""499960"", ""station_id"": ""122152"", ""subway_id"": ""12111"", ""city_id"": ""18"", ""distance"": ""789米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""18号线"", ""station_name"": ""驿城路站"", ""distance_raw"": ""789""}, {""id"": ""7267498"", ""loupan_id"": ""499960"", ""station_id"": ""120609"", ""subway_id"": ""12046"", ""city_id"": ""18"", ""distance"": ""1024米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""19号线"", ""station_name"": ""驿城路站"", ""distance_raw"": ""1024""}, {""id"": ""7195126"", ""loupan_id"": ""499960"", ""station_id"": ""120613"", ""subway_id"": ""12046"", ""city_id"": ""18"", ""distance"": ""1342米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""19号线"", ""station_name"": ""火车东站(东广场)站"", ""distance_raw"": ""1342""}, {""id"": ""7254745"", ""loupan_id"": ""499960"", ""station_id"": ""120844"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""1347米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""火车东站(东广场)站"", ""distance_raw"": ""1347""}]",杭州市上城区机场路与东宁路交叉口
411254,万科星空,杭州,18,余杭区,1808,仓前,5146,杭州余杭区仓前文一西路与崇义路交叉口紫霞街向西300米,,,,,89-138㎡,21760m²,43650m²,"[{""id"": 179838, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 179851, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 179855, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 89}, {""id"": 179860, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 187671, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}]",3/4室,"3室户型,4室户型",,,,,[],{高层},高层,70年,2,30%,434,带装修,,住宅,,3.9元/㎡/月,,471,1:1.1,售罄,售罄,售罄,"[""余售许字(2016)第00126号"", ""余售许字(2016)第00096号"", ""余售许字(2016)第00062号""]",[],,,万科集团,民电,民水,30.295793,120.03268,"""""","{""56"": ""车位充足"", ""31"": ""大平层"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""10"": ""多轨交"", ""78"": ""大户型"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""603"": ""二级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""车位充足"", ""大平层"", ""装修交付"", ""轨交房"", ""多轨交""]",https://pic4.ajkimg.com/display/xinfang/4df097a769bc0cb56b70490015133a73/275x206n.jpg,"[{""id"": ""7213997"", ""loupan_id"": ""411254"", ""station_id"": ""4829"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""443米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""永福"", ""distance_raw"": ""443""}, {""id"": ""7266963"", ""loupan_id"": ""411254"", ""station_id"": ""122098"", ""subway_id"": ""12109"", ""city_id"": ""18"", ""distance"": ""1001米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""12号线"", ""station_name"": ""杭师大仓前站"", ""distance_raw"": ""1001""}, {""id"": ""7213995"", ""loupan_id"": ""411254"", ""station_id"": ""4828"", ""subway_id"": ""142"", ""city_id"": ""18"", ""distance"": ""1021米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""5号线"", ""station_name"": ""杭师大仓前"", ""distance_raw"": ""1021""}]",余杭文一西路与常二路交叉口向北800米
238682,中凯东方红街,杭州,18,上城区,1802,城东新城,5133,杭州上城区城东新城新风路318号(新风路和新井路叉口，火车东站北侧500米),,,,,85-158㎡,住宅：92046m² 别墅：92046m²,住宅：260000m² 别墅：260000m²,"[{""id"": 16632, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85.14}, {""id"": 16639, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 134.04}, {""id"": 16633, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 135.2}, {""id"": 16644, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 136.06}, {""id"": 16642, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 141.18}, {""id"": 16649, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 152.18}, {""id"": 16646, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 157.91}]",2/3/4室,"2室户型,3室户型,4室户型",,,,,[],{高层},住宅：高层,,住宅：2.8,住宅：30% 别墅：30%,住宅：970 别墅：970,住宅：毛坯 别墅：毛坯,,住宅,,住宅：1.4元/㎡/月,,住宅：1200 别墅：1200,,售罄,售罄,售罄,[],[],,,上海中凯企业集团,住宅：民电,住宅：民水,30.30149998823,120.20982468905,"""""","{""9"": ""轨交房"", ""10"": ""多轨交"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""多轨交"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/13387badf1173564ca13538e889fa4a1/275x206n.jpg,"[{""id"": ""7267328"", ""loupan_id"": ""238682"", ""station_id"": ""122152"", ""subway_id"": ""12111"", ""city_id"": ""18"", ""distance"": ""251米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""18号线"", ""station_name"": ""驿城路站"", ""distance_raw"": ""251""}, {""id"": ""7266941"", ""loupan_id"": ""238682"", ""station_id"": ""120609"", ""subway_id"": ""12046"", ""city_id"": ""18"", ""distance"": ""565米"", ""status"": ""1"", ""last_update_time"": ""1774211226"", ""is_rail_loupan"": ""1"", ""subway_name"": ""19号线"", ""station_name"": ""驿城路站"", ""distance_raw"": ""565""}, {""id"": ""7254725"", ""loupan_id"": ""238682"", ""station_id"": ""120840"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""984米"", ""status"": ""1"", ""last_update_time"": ""1774211232"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""枸桔弄站"", ""distance_raw"": ""984""}, {""id"": ""7212581"", ""loupan_id"": ""238682"", ""station_id"": ""2671"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1281米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""新风"", ""distance_raw"": ""1281""}, {""id"": ""7212580"", ""loupan_id"": ""238682"", ""station_id"": ""2672"", ""subway_id"": ""42"", ""city_id"": ""18"", ""distance"": ""1444米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""4号线"", ""station_name"": ""火车东站"", ""distance_raw"": ""1444""}, {""id"": ""7212629"", ""loupan_id"": ""238682"", ""station_id"": ""2632"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""1473米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""火车东站"", ""distance_raw"": ""1473""}]",新风路318号(新风路和新井路叉口，火车东站北侧500米)
528933,桃李映湖,杭州,18,临安区,16784,锦城,25401,杭州临安区锦城吴山街青龙公寓北侧约180米,,496,496万元/套起,首付74万，月供17889元,185-244㎡,18339m²,38174.6m²,"[{""id"": 856989, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 185}, {""id"": 859045, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 222}, {""id"": 859048, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 244}]",别墅,别墅户型,2025-01-10,2025年01月10日,2025年1月10日,2026年3月,"[""2024-12-19""]",{合院别墅},合院别墅,70年,1.4,20%,30,毛坯,在建中，竣工时间：2026-03-31,别墅,,,,59,1.1.9,在售,在售,在售,"[""临安房预许字（2024）第00578号""]","[""3#、4#、1#、2#、7#、5#、6#""]",杭州市临安区国瑞置业有限公司,,,民电,民水,30.237445,119.750575,"""""","{""76"": ""厨卫全明"", ""74"": ""南北通透"", ""7"": ""项目在建"", ""549"": ""毛坯"", ""276"": ""一房一价"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""85"": ""主卧套房"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""421"": ""无需摇号"", ""55"": ""小型社区""}","[""厨卫全明"", ""南北通透"", ""项目在建"", ""毛坯"", ""一房一价""]",https://pic4.ajkimg.com/display/xinfang/86e625b69fc8278a3fdeb795ee8d40c9/275x206n.jpg,[],浙江省杭州市临安区吴山街青龙公寓北侧约180米
511094,明彩城写字楼,杭州,18,萧山区,1807,萧山新城,1919,杭州萧山区萧山新城建设四路和新吉路交叉口,,18000,18000元/㎡,,311-318㎡,32000m²,105000m²,[],,商业户型,2020-12-29,2020年12月29日,2020年12月29日,2023年6月30日,[],{},,40年,,25%,302,毛坯,已竣工，竣工时间：2023-06-21,标准写字楼,浙江润洲物业服务有限公司,5.5元/㎡/月,,536,1:1.8,在售,在售,在售,[],[],浙江众都置业有限公司,众安置业,浙江众都置业有限公司,商电,商水,30.209650285468,120.31000769646,"{""service_num"": ""4006708287"", ""num"": ""84436""}","{""559"": ""现房"", ""557"": ""项目竣工"", ""56"": ""车位充足"", ""9"": ""轨交房"", ""74"": ""南北通透"", ""5"": ""低单价"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""68"": ""医院"", ""65"": ""商业街"", ""50"": ""品牌开发商""}","[""现房"", ""项目竣工"", ""车位充足"", ""轨交房"", ""南北通透""]",https://pic4.ajkimg.com/display/xinfang/662b5fd75911e95a07649702498f9749/275x206n.jpg,"[{""id"": ""7188713"", ""loupan_id"": ""511094"", ""station_id"": ""10930"", ""subway_id"": ""1043"", ""city_id"": ""18"", ""distance"": ""1002米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""新汉路"", ""distance_raw"": ""1002""}, {""id"": ""7188710"", ""loupan_id"": ""511094"", ""station_id"": ""10917"", ""subway_id"": ""1043"", ""city_id"": ""18"", ""distance"": ""1106米"", ""status"": ""1"", ""last_update_time"": ""1774211227"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""新兴路"", ""distance_raw"": ""1106""}]",萧山区建设四路和新吉路交叉口
503921,春江御园,杭州,18,富阳区,16786,东洲,25393,杭州富阳区东洲东洲街道子久弄19号,,675,675万元/套起,首付101万，月供24345元,170-300㎡,73145m²,108739m²,"[{""id"": 764718, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 170}, {""id"": 764713, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 178}, {""id"": 764719, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 205}, {""id"": 764720, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 208}, {""id"": 764721, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 230}, {""id"": 764722, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 230}, {""id"": 764725, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 300}]",别墅,别墅户型,2022-10-13,2022年10月13日,2022年10月13日,2024年12月31日,"[""2022-09-30"", ""2022-08-03""]",{合院别墅},合院别墅,70年,0.61,30%,212,毛坯,在建中，竣工时间：2024-12-31,别墅,绿城物业服务集团有限公司富阳分公司,6元/㎡/月,,480,1:2.3,在售,在售,在售,"[""富售许字(2022)第ZJ00476号"", ""富售许字（2022）第ZJ00356号""]","[""6#、7#、8#、9#、10#、11#、12#、14#、15#、16#、17#、18#、19#、20#、21#、22#、23#"", ""1#、2#、3#、4#、5#、13#""]","杭州云初航羽信息科技有限公司,杭州香溢春江山居置业有限公司",香溢集团,杭州香溢春江山居置业有限公司,民电,民水,30.08941492921,120.01772043109,"""""","{""559"": ""现房"", ""77"": ""复式"", ""56"": ""车位充足"", ""52"": ""低容积"", ""76"": ""厨卫全明"", ""74"": ""南北通透"", ""73"": ""卧室全朝南"", ""7"": ""项目在建"", ""276"": ""一房一价"", ""78"": ""大户型"", ""408"": ""全明空间"", ""407"": ""主卧朝南"", ""406"": ""客厅朝南"", ""403"": ""私密性好"", ""402"": ""玄关入户"", ""401"": ""户型方正"", ""397"": ""动静分离"", ""85"": ""主卧套房"", ""92"": ""热搜盘"", ""638"": ""民办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""597"": ""公办幼儿园"", ""541"": ""3D沙盘"", ""421"": ""无需摇号"", ""263"": ""VR看房"", ""98"": ""改善置业"", ""55"": ""小型社区"", ""50"": ""品牌开发商""}","[""现房"", ""复式"", ""车位充足"", ""低容积"", ""厨卫全明""]",https://pic4.ajkimg.com/display/xinfang/3d45ee5e68f03dc5d219067f91501d9d/275x206n.jpg,[],杭州市富阳区东洲街道子久弄19号
263931,地铁绿城杨柳郡,杭州,18,上城区,1802,城东新城,5133,杭州上城区城东新城九和路516号,,,,,42-148㎡,300000m²,800000m²,"[{""id"": 495733, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 42}, {""id"": 495737, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 44}, {""id"": 495729, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 45}, {""id"": 495735, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495743, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495749, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 47}, {""id"": 495741, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 50}, {""id"": 495753, ""rooms"": 1, ""room_alias"": ""一室"", ""area"": 66}, {""id"": 495755, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 76}, {""id"": 495760, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 85}, {""id"": 144191, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 495766, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 95}, {""id"": 495771, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 98}, {""id"": 144192, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 495801, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 110}, {""id"": 144194, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 120}, {""id"": 170048, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 134}, {""id"": 495804, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 138}, {""id"": 144196, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 140}, {""id"": 200275, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 148}]",1/2/3/4室,"1室户型,2室户型,3室户型,4室户型",,,,,"[""2019-09-25"", ""2018-07-19"", ""2018-07-19"", ""2018-01-10"", ""2017-06-16"", ""2018-10-23"", ""2017-09-04""]",{高层},高层,70年,2.5,39%,3537,带装修,,住宅,绿城物业服务集团有限公司,3.5元/㎡/月,,4800,1:1.4,售罄,售罄,售罄,"[""杭售许字（2019）第000096号"", ""杭售许字(2016)第000047号"", ""杭售许字(2016)第000021号"", ""杭售许字(2015)第000177号"", ""杭售许字(2017)第000038号"", ""杭售许字(2018)第000098号"", ""杭售许字(2017)第000064号""]","[""B5#、B6#"", ""H11#、I12#、I13#、I14#、M4#、M8#""]",,,绿城房地产集团有限公司,民电,民水,30.307155,120.245978,"""""","{""56"": ""车位充足"", ""53"": ""高绿化率"", ""31"": ""大平层"", ""29"": ""装修交付"", ""9"": ""轨交房"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""67"": ""生态绿地"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""79"": ""小户型"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园"", ""54"": ""大型社区""}","[""车位充足"", ""高绿化率"", ""大平层"", ""装修交付"", ""轨交房""]",https://pic4.ajkimg.com/display/xinfang/02e7a7c16417b3de6f4eb8ad3637c936/275x206n.jpg,"[{""id"": ""7214468"", ""loupan_id"": ""263931"", ""station_id"": ""2634"", ""subway_id"": ""40"", ""city_id"": ""18"", ""distance"": ""327米"", ""status"": ""1"", ""last_update_time"": ""1774211229"", ""is_rail_loupan"": ""1"", ""subway_name"": ""1号线"", ""station_name"": ""七堡"", ""distance_raw"": ""327""}]",江干区九和路516号
239514,篁外,杭州,18,西湖区,1804,之江,24206,"杭州西湖区之江八角路(八角路和鸡山路的交叉口,望江山疗养院南面)",,,,,90-336㎡,,,"[{""id"": 43592, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 54210, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 54215, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 54218, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 90}, {""id"": 54199, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 180}, {""id"": 54224, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 180}, {""id"": 54196, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 180}, {""id"": 18859, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 330}, {""id"": 18855, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 300}, {""id"": 18857, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 300}, {""id"": 18858, ""rooms"": 6, ""room_alias"": ""六室"", ""area"": 336}]",别墅、3/4室,"3室户型,4室户型,别墅户型",,,,,[],{小高层},住宅：小高层,住宅：70年 别墅：70年,住宅：2,住宅：30% 别墅：30%,住宅：1000 别墅：1000,住宅：毛坯 别墅：毛坯,,住宅,,住宅：2.5元/㎡/月,,住宅：1400 别墅：1400,住宅：1:1 别墅：1:1,售罄,售罄,售罄,[],[],,,杭州中海雅戈尔房地产有限公司,住宅：民电,住宅：民水,30.150561775002,120.06852672218,"{""service_num"": ""4006708287"", ""num"": """"}","{""9"": ""轨交房"", ""63"": ""旅游地产"", ""72"": ""配套纯熟"", ""71"": ""便利店"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""旅游地产"", ""配套纯熟"", ""便利店"", ""银行""]",https://pic4.ajkimg.com/display/xinfang/5970d9f968abfe1b27811d1a9892559c/275x206n.jpg,"[{""id"": ""7254503"", ""loupan_id"": ""239514"", ""station_id"": ""120862"", ""subway_id"": ""143"", ""city_id"": ""18"", ""distance"": ""708米"", ""status"": ""1"", ""last_update_time"": ""1774211231"", ""is_rail_loupan"": ""1"", ""subway_name"": ""6号线"", ""station_name"": ""音乐学院站"", ""distance_raw"": ""708""}]",西湖区之江320国道南(双流公园对面)
245376,金隅田员外,杭州,18,拱墅区,1801,桃源,4578,杭州拱墅区桃源东至依山路，南至广济路，西至建筑安装学校，北至规划绿化。,,,,,87-127㎡,71280m²,195513m²,"[{""id"": 75879, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 87}, {""id"": 75878, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 88}, {""id"": 75877, ""rooms"": 2, ""room_alias"": ""二室"", ""area"": 89}, {""id"": 75880, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 119}, {""id"": 75881, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 127}]",2/3室,"2室户型,3室户型",,,,,[],{高层},高层,70年,2,30%,1406,毛坯,,住宅,杭州卓盛物业管理有限公司,2.2元/㎡/月,,1235,1:0.9,售罄,售罄,售罄,"[""杭售许字(2016)第000053号"", ""杭售许字(2014)第000088号"", ""杭售许字(2014)第000014号"", ""杭售许字(2013)第0054号""]",[],,,北京金隅集团,民电,民水,30.358837,120.203035,"""""","{""57"": ""人车分流"", ""72"": ""配套纯熟"", ""70"": ""银行"", ""69"": ""学校"", ""68"": ""医院"", ""66"": ""公园"", ""65"": ""商业街"", ""64"": ""购物中心"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""606"": ""省一级园"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""人车分流"", ""配套纯熟"", ""银行"", ""学校"", ""医院""]",https://pic4.ajkimg.com/display/xinfang/f57c1dbe9c029e248fdff140ae25aa8e/275x206n.jpg,[],杭州市拱墅区田园广济路和依山路交叉口
418935,碧秀名庭,杭州,18,萧山区,1807,萧山新城,1919,杭州萧山区萧山新城香樟路与北塘东路交界口,,,,,88-125㎡,26000m²,75000m²,"[{""id"": 269635, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 88}, {""id"": 269645, ""rooms"": 3, ""room_alias"": ""三室"", ""area"": 100}, {""id"": 269651, ""rooms"": 4, ""room_alias"": ""四室"", ""area"": 115}, {""id"": 269654, ""rooms"": 5, ""room_alias"": ""五室"", ""area"": 125}]",3/4/5室,"3室户型,4室户型,5室户型",,,,,[],"{小高层,高层}",小高层、高层,70年,2.5,30%,,毛坯,,住宅,,,,,1：1,售罄,售罄,售罄,"[""萧售许字（2017）第00521号：1、2、3、6、7、8#"", ""萧售许字（2017）第00580号：4、5#""]",[],,,,民电,民水,30.197020151186,120.33637396354,"""""","{""9"": ""轨交房"", ""69"": ""学校"", ""68"": ""医院"", ""78"": ""大户型"", ""637"": ""公办中学"", ""636"": ""公办小学"", ""624"": ""九年一贯制"", ""598"": ""民办幼儿园"", ""597"": ""公办幼儿园""}","[""轨交房"", ""学校"", ""医院"", ""大户型"", ""公办中学""]",https://pic4.ajkimg.com/display/xinfang/79a540e5a78bf9e77c3067c46da038c0/275x206n.jpg,"[{""id"": ""7213531"", ""loupan_id"": ""418935"", ""station_id"": ""10933"", ""subway_id"": ""1043"", ""city_id"": ""18"", ""distance"": ""1080米"", ""status"": ""1"", ""last_update_time"": ""1774211228"", ""is_rail_loupan"": ""1"", ""subway_name"": ""7号线"", ""station_name"": ""新街"", ""distance_raw"": ""1080""}]",萧山香樟路与北塘东路交界口
